model,layer,task,task_name,best_C,dev_accuracy,test_accuracy,test_f1,test_auc,train_size,test_size,multiclass,is_control,real_task
base,6,knowledge,Base Model Correctness,0.001,0.660399880632647,0.6689028026237328,0.7818913876067957,0.6537194793663189,23463,6708,False,False,knowledge
base,6,knowledge_control,Base Model Correctness (Control),0.001,0.6499552372426142,0.6454979129397734,0.782393850658858,0.50370416304932,23463,6708,False,True,knowledge
base,6,suppression_vs_control,Suppression vs Control,0.01,0.7502321262766946,0.752479815455594,0.7738672286617492,0.8369577989280258,15063,4335,False,False,suppression_vs_control
base,6,suppression_vs_control_control,Suppression vs Control (Control),10.0,0.5098039215686274,0.5181084198385236,0.5909535931074995,0.5064588655265281,15024,4335,False,True,suppression_vs_control
base,6,enhancement_vs_control,Enhancement vs Control,1.0,0.7477604903347478,0.7540565600370885,0.7778010471204189,0.8403777426496306,15153,4314,False,False,enhancement_vs_control
base,6,enhancement_vs_control_control,Enhancement vs Control (Control),0.001,0.5130984643179766,0.5233732675593141,0.6257148127651725,0.4881039614989223,15117,4257,False,True,enhancement_vs_control
base,6,suppression_vs_enhancement,Suppression vs Enhancement,0.001,0.6411207251751133,0.6391860709041326,0.6294700560103403,0.6945448675770055,16710,4767,False,False,suppression_vs_enhancement
base,6,suppression_vs_enhancement_control,Suppression vs Enhancement (Control),0.01,0.5128540305010894,0.5012437810945274,0.5016570008285004,0.4957645193452864,16785,4824,False,True,suppression_vs_enhancement
base,6,group_3way,Group Type (3-way),0.001,0.5637123246792003,0.5721526535480024,0.5749188437974567,,23463,6708,True,False,group_3way
base,6,group_3way_control,Group Type (3-way) (Control),0.1,0.3476574156968069,0.3425760286225403,0.3337845671861069,,23463,6708,True,True,group_3way
base,12,knowledge,Base Model Correctness,0.001,0.6642793196060878,0.6686046511627907,0.7820374546524169,0.6656123688358875,23463,6708,False,False,knowledge
base,12,knowledge_control,Base Model Correctness (Control),0.001,0.6520441659206208,0.6462432915921288,0.7829109871009057,0.5008168805576718,23463,6708,False,True,knowledge
base,12,suppression_vs_control,Suppression vs Control,0.1,0.7177344475394615,0.7250288350634372,0.7497900923593619,0.8033799508215842,15063,4335,False,False,suppression_vs_control
base,12,suppression_vs_control_control,Suppression vs Control (Control),0.001,0.49658002735978113,0.5351787773933102,0.6394703882626588,0.5023195610613459,15024,4335,False,True,suppression_vs_control
base,12,enhancement_vs_control,Enhancement vs Control,0.01,0.7157001414427157,0.7445526193787668,0.772125723738627,0.8227248717051893,15153,4314,False,False,enhancement_vs_control
base,12,enhancement_vs_control_control,Enhancement vs Control (Control),0.1,0.513550135501355,0.5160911439981207,0.5948072383949646,0.5013436278443888,15117,4257,False,True,enhancement_vs_control
base,12,suppression_vs_enhancement,Suppression vs Enhancement,1.0,0.6172229089410796,0.6228235787707154,0.6149892933618843,0.6769964312382305,16710,4767,False,False,suppression_vs_enhancement
base,12,suppression_vs_enhancement_control,Suppression vs Enhancement (Control),1.0,0.5089324618736384,0.5058043117744611,0.501255230125523,0.49974270243764723,16785,4824,False,True,suppression_vs_enhancement
base,12,group_3way,Group Type (3-way),0.1,0.5264100268576545,0.5485986881335718,0.550857723392618,,23463,6708,True,False,group_3way
base,12,group_3way_control,Group Type (3-way) (Control),0.1,0.3440763951059385,0.34317233154442456,0.3338284841332079,,23463,6708,True,True,group_3way
base,18,knowledge,Base Model Correctness,0.001,0.6589077887197852,0.663387000596303,0.7775369458128079,0.6606137076030933,23463,6708,False,False,knowledge
base,18,knowledge_control,Base Model Correctness (Control),0.001,0.652342584303193,0.644752534287418,0.7815565129709414,0.49925152912874604,23463,6708,False,True,knowledge
base,18,suppression_vs_control,Suppression vs Control,0.01,0.7177344475394615,0.7257208765859285,0.7506814845879639,0.8013522988305384,15063,4335,False,False,suppression_vs_control
base,18,suppression_vs_control_control,Suppression vs Control (Control),0.001,0.49794801641586867,0.5243367935409458,0.6353024407499116,0.5022130141430207,15024,4335,False,True,suppression_vs_control
base,18,enhancement_vs_control,Enhancement vs Control,0.01,0.7284299858557284,0.7461752433936022,0.7738070646560627,0.8242016433807,15153,4314,False,False,enhancement_vs_control
base,18,enhancement_vs_control_control,Enhancement vs Control (Control),0.001,0.517163504968383,0.5299506694855532,0.6346540076684316,0.49943924171701637,15117,4257,False,True,enhancement_vs_control
base,18,suppression_vs_enhancement,Suppression vs Enhancement,0.1,0.6234033786567779,0.6200964967484791,0.6132820841341021,0.6692739715562258,16710,4767,False,False,suppression_vs_enhancement
base,18,suppression_vs_enhancement_control,Suppression vs Enhancement (Control),10.0,0.5010893246187363,0.4896351575456053,0.4827731092436975,0.49108485008226127,16785,4824,False,True,suppression_vs_enhancement
base,18,group_3way,Group Type (3-way),0.01,0.5258131900925097,0.5485986881335718,0.5512357785484677,,23463,6708,True,False,group_3way
base,18,group_3way_control,Group Type (3-way) (Control),0.001,0.3366159355416294,0.3409361955873584,0.31931326693043544,,23463,6708,True,True,group_3way
instruct,6,knowledge,Instruct Model Correctness,0.001,0.642494777678305,0.6355098389982111,0.7493593029215787,0.6397196284887434,23463,6708,False,False,knowledge
instruct,6,knowledge_control,Instruct Model Correctness (Control),0.001,0.6323485526708446,0.6103160405485987,0.7516153553781832,0.49243268247978883,23463,6708,False,True,knowledge
instruct,6,suppression_vs_control,Suppression vs Control,0.01,0.7479108635097493,0.7501730103806228,0.7714707744249841,0.8369780281030585,15063,4335,False,False,suppression_vs_control
instruct,6,suppression_vs_control_control,Suppression vs Control (Control),0.1,0.5075239398084815,0.5234140715109573,0.5963266901133255,0.5074281826127556,15024,4335,False,True,suppression_vs_control
instruct,6,enhancement_vs_control,Enhancement vs Control,0.001,0.7430457331447431,0.7614742698191933,0.7903850071297617,0.8458345464267966,15153,4314,False,False,enhancement_vs_control
instruct,6,enhancement_vs_control_control,Enhancement vs Control (Control),0.001,0.5112917795844625,0.5205543810194972,0.6219670309316541,0.48692115743014786,15117,4257,False,True,enhancement_vs_control
instruct,6,suppression_vs_enhancement,Suppression vs Enhancement,0.001,0.638648537288834,0.6375078665827565,0.6272648835202761,0.6933390858801731,16710,4767,False,False,suppression_vs_enhancement
instruct,6,suppression_vs_enhancement_control,Suppression vs Enhancement (Control),10.0,0.5058823529411764,0.5047678275290216,0.5044596556730969,0.4962077623227307,16785,4824,False,True,suppression_vs_enhancement
instruct,6,group_3way,Group Type (3-way),0.001,0.5628170695314831,0.5721526535480024,0.5751631913664853,,23463,6708,True,False,group_3way
instruct,6,group_3way_control,Group Type (3-way) (Control),0.1,0.3434795583407938,0.3425760286225403,0.33426186669112506,,23463,6708,True,True,group_3way
instruct,12,knowledge,Instruct Model Correctness,0.001,0.6421963592957326,0.6347644603458557,0.7478905124511216,0.6386045904880651,23463,6708,False,False,knowledge
instruct,12,knowledge_control,Instruct Model Correctness (Control),0.001,0.6296627872276932,0.6176207513416816,0.757171258165294,0.5046524834340802,23463,6708,False,True,knowledge
instruct,12,suppression_vs_control,Suppression vs Control,0.1,0.724233983286908,0.7261822376009227,0.750682629699643,0.8025951018711126,15063,4335,False,False,suppression_vs_control
instruct,12,suppression_vs_control_control,Suppression vs Control (Control),0.001,0.49794801641586867,0.532641291810842,0.63963002490217,0.5032518465966922,15024,4335,False,True,suppression_vs_control
instruct,12,enhancement_vs_control,Enhancement vs Control,0.1,0.7152286657237152,0.7348168752897543,0.7627540439651597,0.8132376666660153,15153,4314,False,False,enhancement_vs_control
instruct,12,enhancement_vs_control_control,Enhancement vs Control (Control),10.0,0.516260162601626,0.5139769790932581,0.5900534971270062,0.4988769176949099,15117,4257,False,True,enhancement_vs_control
instruct,12,suppression_vs_enhancement,Suppression vs Enhancement,10.0,0.6225793160280181,0.6270190895741556,0.6192719486081371,0.6752558809581898,16710,4767,False,False,suppression_vs_enhancement
instruct,12,suppression_vs_enhancement_control,Suppression vs Enhancement (Control),0.01,0.5076252723311547,0.49834162520729686,0.49181016379672404,0.49490485492045266,16785,4824,False,True,suppression_vs_enhancement
instruct,12,group_3way,Group Type (3-way),0.01,0.5296926290659505,0.5427847346451997,0.545135598678585,,23463,6708,True,False,group_3way
instruct,12,group_3way_control,Group Type (3-way) (Control),10.0,0.3413906296627872,0.3412343470483005,0.3321121587787534,,23463,6708,True,True,group_3way
instruct,18,knowledge,Instruct Model Correctness,0.1,0.6532378394509102,0.6268634466308884,0.7321562332798288,0.6341581902386999,23463,6708,False,False,knowledge
instruct,18,knowledge_control,Instruct Model Correctness (Control),0.001,0.63682482840943,0.6170244484197973,0.7574355584930601,0.4965554897974155,23463,6708,False,True,knowledge
instruct,18,suppression_vs_control,Suppression vs Control,0.01,0.7163416898792944,0.7199538638985006,0.7459187944746756,0.7976884509057289,15063,4335,False,False,suppression_vs_control
instruct,18,suppression_vs_control_control,Suppression vs Control (Control),0.001,0.5015959872321022,0.5217993079584775,0.6319900585833481,0.5025259415759069,15024,4335,False,True,suppression_vs_control
instruct,18,enhancement_vs_control,Enhancement vs Control,0.01,0.7303158887317304,0.7487250811312007,0.7767710049423394,0.8233979078995561,15153,4314,False,False,enhancement_vs_control
instruct,18,enhancement_vs_control_control,Enhancement vs Control (Control),0.001,0.5221318879855466,0.5287761334272962,0.634874408445577,0.500789803548949,15117,4257,False,True,enhancement_vs_control
instruct,18,suppression_vs_enhancement,Suppression vs Enhancement,0.01,0.6238154099711578,0.6150618837843508,0.6063076593005793,0.6696043733438104,16710,4767,False,False,suppression_vs_enhancement
instruct,18,suppression_vs_enhancement_control,Suppression vs Enhancement (Control),1.0,0.50239651416122,0.49336650082918737,0.4872010071338649,0.48911845367689644,16785,4824,False,True,suppression_vs_enhancement
instruct,18,group_3way,Group Type (3-way),0.01,0.5302894658310952,0.5445736434108527,0.547035934700829,,23463,6708,True,False,group_3way
instruct,18,group_3way_control,Group Type (3-way) (Control),0.1,0.333034914950761,0.334525939177102,0.3243491284493248,,23463,6708,True,True,group_3way
