model_type,layer,best_val_loss,final_train_loss,final_train_recon,final_train_l0,final_val_loss,final_val_recon,final_val_l0,epochs_trained,meets_recon_threshold,sparsity_ratio,meets_sparsity_target,passes_validation
base,6,0.1766599850496277,0.00025639661055945785,0.00025639661055945785,0.007812100597935864,0.1766599850496277,0.1766599850496277,0.0078125,100,False,128.0,True,False
base,12,0.5701307881390676,0.001447351901139268,0.001447351901139268,0.0078124836978749335,0.5701307881390676,0.5701307881390676,0.0078125,80,False,128.0,True,False
base,18,1.8844564512372017,0.011500688413014779,0.011500688413014779,0.007812485735640567,1.8844564512372017,1.8844564512372017,0.0078125,100,False,128.0,True,False
chat,6,0.2383877490996383,0.00032565338859477866,0.00032565338859477866,0.007811807159684662,0.2383877490996383,0.2383877490996383,0.0078125,100,False,128.0,True,False
chat,12,0.8526373336557299,0.002218162935450036,0.002218162935450036,0.007812495924468733,0.8526373336557299,0.8526373336557299,0.0078125,65,False,128.0,True,False
chat,18,2.151034716144204,0.014561456453023303,0.014561456453023303,0.007812455169156066,2.151034716144204,2.151034716144204,0.0078125,100,False,128.0,True,False
delta,6,0.004500787465804024,5.0150752194428766e-05,5.0150752194428766e-05,0.0078125,0.004500787465804024,0.004500787465804024,0.0078125,100,True,128.0,True,True
delta,12,0.01010010787867941,0.00028513912479671784,0.00028513912479671784,0.007812502037765633,0.01010010787867941,0.01010010787867941,0.0078125,75,True,128.0,True,True
delta,18,0.05174491044599563,0.00207242250848466,0.00207242250848466,0.0078125,0.05174491044599563,0.05174491044599563,0.0078125,95,False,128.0,True,False
